tracknum,asymmetry,moment,motion,mssSlope,normDiffCoeff,genDiffCoeff,scalingPower
1,0.0,1.0,nan,-0.004572045432599183,0.046209650199598544,0.114212447489,0.00187996164452
2,0.0,3.0,nan,0.7140743000914257,0.5749406019227725,0.316595343471,1.62312618705
3,0.0,1.0,nan,-0.08407461598324445,0.21388572513839355,0.612994563339,-0.219662974468
4,0.0,2.0,nan,0.35325030929102247,0.431310159591707,0.581222621632,0.734565239435
5,1.0,nan,nan,nan,nan,nan,nan
6,0.0,1.0,nan,0.23069244481948975,0.3601206796145675,0.521140392367,0.548407655126
7,0.0,nan,nan,nan,nan,nan,nan
7,0.0,nan,nan,nan,nan,nan,nan
8,0.0,1.0,nan,0.06872951492183,0.07011124995370274,0.15312095539,0.185497674424
9,0.0,nan,nan,nan,nan,nan,nan
10,0.0,2.0,nan,0.34535072623012747,0.6937603519691251,0.831097959023,0.772826051078
11,1,1,2,0.13892554330814583,0.3126989818670886,0.672424728173,0.200365024669
12,0.0,2.0,nan,0.465665703579,0.601785115051,0.603180936171,1.15100479541
12,0.0,nan,nan,nan,nan,nan,nan
13,0.0,nan,nan,nan,nan,nan,nan
14,0.0,nan,nan,nan,nan,nan,nan
15,0.0,nan,nan,nan,nan,nan,nan
16,0.0,1.0,nan,0.200163732955,0.90881691497,1.54686244887,0.348539029598
16,0.0,nan,nan,nan,nan,nan,nan
17,0.0,nan,nan,nan,nan,nan,nan
18,0.0,nan,nan,nan,nan,nan,nan
19,0.0,nan,nan,nan,nan,nan,nan
20,0.0,nan,nan,nan,nan,nan,nan
21,0.0,nan,nan,nan,nan,nan,nan
22,0.0,nan,nan,nan,nan,nan,nan
23,0.0,nan,nan,nan,nan,nan,nan
23,0.0,nan,nan,nan,nan,nan,nan
23,1.0,nan,nan,nan,nan,nan,nan
23,0.0,nan,nan,nan,nan,nan,nan
23,0.0,nan,nan,nan,nan,nan,nan
24,0.0,2.0,nan,0.21519876891586967,0.5643607135608135,0.916621258614,0.493470923137
25,0.0,2.0,nan,0.278634356761,1.22459821606,2.066198453,0.442324719445
25,0.0,nan,nan,nan,nan,nan,nan
26,0.0,nan,nan,nan,nan,nan,nan
26,0.0,2.0,nan,0.471254256484,0.702775720642,0.691732366082,1.03077128297
26,0.0,nan,nan,nan,nan,nan,nan
27,0.0,nan,nan,nan,nan,nan,nan
28,0.0,2.0,nan,0.543497755245,1.46690255121,1.34494356697,1.10311225179
28,0.0,2.0,nan,0.552488303029,1.54605705401,1.49885747558,1.03238096324
29,0.0,2.0,nan,0.378304203056,1.02281384668,1.43491119187,0.591519289506
29,0.0,nan,nan,nan,nan,nan,nan
30,0.0,1.0,nan,0.275813473304,1.04548003853,1.59826823574,0.535022271057
30,0.0,nan,nan,nan,nan,nan,nan
